timestamp,track_id,class_name,x1,y1,x2,y2,speed,direction
1748782722.168381,115,car,37,368,186,639,4.74,-18.4
1748782722.168381,110,bicycle,650,509,731,683,6.18,-76.0
1748782722.168381,82,car,862,379,915,441,6.00,180.0
1748782722.168381,127,bicycle,455,517,523,673,4.74,71.6
1748782722.220345,41,person,880,421,983,628,3.35,-153.4
1748782722.220345,88,person,446,334,572,645,15.30,-78.7
1748782722.220345,17,bus,414,257,698,572,4.50,-90.0
1748782722.220345,99,car,294,442,426,550,4.74,18.4
1748782722.220345,101,person,790,385,880,643,5.41,-123.7
1748782722.220345,104,bicycle,803,521,877,676,2.12,135.0
1748782722.220345,112,person,645,392,738,650,14.23,71.6
1748782722.220345,113,car,181,415,304,586,13.58,-6.3
1748782722.220345,115,car,40,370,194,637,16.50,0.0
1748782722.220345,110,bicycle,652,512,731,682,4.24,45.0
1748782722.220345,82,car,863,380,915,441,2.12,45.0
1748782722.220345,127,bicycle,458,515,525,671,9.60,-38.7
1748782722.2719328,41,person,879,422,981,627,4.50,180.0
1748782722.2719328,88,person,449,330,575,646,10.06,-26.6
1748782722.2719328,17,bus,418,260,696,569,3.00,0.0
1748782722.2719328,99,car,299,442,430,549,13.58,-6.3
1748782722.2719328,101,person,789,383,880,644,2.12,-135.0
1748782722.2719328,104,bicycle,806,528,876,676,10.92,74.1
1748782722.2719328,112,person,645,391,742,659,13.42,63.4
1748782722.2719328,113,car,193,418,311,584,28.54,3.0
1748782722.2719328,115,car,55,376,210,633,46.60,3.7
1748782722.2719328,110,bicycle,654,516,732,681,6.36,45.0
1748782722.2719328,82,car,863,381,915,441,1.50,90.0
1748782722.2719328,127,bicycle,467,516,534,668,27.17,-6.3
1748782722.324286,41,person,878,424,979,627,5.41,146.3
1748782722.324286,88,person,455,336,575,640,9.00,0.0
1748782722.324286,17,bus,420,263,692,568,4.24,135.0
1748782722.324286,99,car,301,442,432,548,6.18,-14.0
1748782722.324286,101,person,789,385,880,646,6.00,90.0
1748782722.324286,104,bicycle,807,533,874,675,6.18,104.0
1748782722.324286,112,person,647,389,745,660,7.65,-11.3
1748782722.324286,113,car,200,420,314,584,15.30,11.3
1748782722.324286,115,car,67,378,225,632,40.53,2.1
1748782722.324286,110,bicycle,658,523,733,681,12.90,54.5
1748782722.324286,82,car,861,380,915,442,3.00,180.0
1748782722.324286,127,bicycle,472,513,539,667,16.16,-21.8
1748782722.324286,132,car,5,424,72,716,0.00,0.0
1748782722.3781052,41,person,878,424,979,627,0.00,0.0
1748782722.3781052,88,person,457,339,575,637,3.00,0.0
1748782722.3781052,17,bus,421,264,691,568,1.50,90.0
1748782722.3781052,99,car,302,442,433,548,3.00,0.0
1748782722.3781052,101,person,788,386,879,647,4.24,135.0
1748782722.3781052,104,bicycle,808,534,873,675,1.50,90.0
1748782722.3781052,112,person,647,388,746,660,2.12,-45.0
1748782722.3781052,113,car,204,421,314,585,6.71,26.6
1748782722.3781052,115,car,69,379,231,632,12.09,7.1
1748782722.3781052,110,bicycle,660,526,733,680,4.24,45.0
1748782722.3781052,82,car,860,380,915,443,2.12,135.0
1748782722.3781052,132,car,6,425,73,717,4.24,45.0
1748782722.432841,41,person,877,423,978,628,3.00,180.0
1748782722.432841,88,person,460,337,575,627,18.55,-76.0
1748782722.432841,17,bus,423,266,693,572,10.82,56.3
1748782722.432841,99,car,304,440,434,546,7.50,-53.1
1748782722.432841,101,person,789,388,879,647,3.35,63.4
1748782722.432841,104,bicycle,808,537,871,673,3.35,153.4
1748782722.432841,112,person,650,388,746,654,10.06,-63.4
1748782722.432841,113,car,210,423,316,584,12.09,7.1
1748782722.432841,115,car,75,379,241,632,24.00,0.0
1748782722.432841,110,bicycle,661,529,733,681,6.18,76.0
1748782722.432841,82,car,860,380,914,443,1.50,180.0
1748782722.485025,41,person,876,424,976,627,4.50,180.0
1748782722.485025,88,person,467,352,577,627,26.24,59.0
1748782722.485025,17,bus,425,271,690,572,7.65,101.3
1748782722.485025,99,car,305,441,436,547,5.41,33.7
1748782722.485025,101,person,789,392,878,648,7.65,101.3
1748782722.485025,104,bicycle,809,536,872,672,4.24,-45.0
1748782722.485025,112,person,652,390,745,646,9.12,-80.5
1748782722.485025,113,car,220,425,322,583,24.05,3.6
1748782722.485025,115,car,89,381,256,631,43.53,2.0
1748782722.485025,110,bicycle,661,521,736,679,15.66,-73.3
1748782722.537076,41,person,874,424,974,626,6.18,-166.0
1748782722.537076,88,person,470,357,578,628,10.82,56.3
1748782722.537076,17,bus,429,274,688,570,3.35,26.6
1748782722.537076,99,car,309,441,440,547,12.00,0.0
1748782722.537076,101,person,790,393,879,647,3.00,0.0
1748782722.537076,104,bicycle,810,539,871,671,3.00,90.0
1748782722.537076,112,person,653,390,744,638,12.00,-90.0
1748782722.537076,113,car,227,425,327,584,18.06,4.8
1748782722.537076,115,car,100,382,266,628,31.64,-5.4
1748782722.537076,110,bicycle,660,520,737,678,3.00,-90.0
1748782722.537076,82,car,858,381,912,444,0.00,0.0
1748782722.585925,41,person,873,424,973,626,3.00,180.0
1748782722.585925,88,person,471,359,578,629,4.74,71.6
1748782722.585925,17,bus,431,275,687,570,2.12,45.0
1748782722.585925,99,car,311,441,441,547,4.50,0.0
1748782722.585925,101,person,791,393,879,647,1.50,0.0
1748782722.585925,104,bicycle,810,539,870,671,1.50,180.0
1748782722.585925,112,person,653,390,744,635,4.50,-90.0
1748782722.585925,113,car,230,425,327,584,4.50,0.0
1748782722.585925,115,car,103,383,270,627,10.50,0.0
1748782722.585925,110,bicycle,660,519,737,678,1.50,-90.0
1748782722.585925,82,car,858,382,912,444,1.50,90.0
1748782722.637711,41,person,873,426,972,626,3.35,116.6
1748782722.637711,88,person,475,356,587,638,21.48,24.8
1748782722.637711,17,bus,432,275,688,570,3.00,0.0
1748782722.637711,99,car,310,438,444,548,4.24,-45.0
1748782722.637711,101,person,792,394,879,647,2.12,45.0
1748782722.637711,104,bicycle,809,538,870,671,2.12,-135.0
1748782722.637711,112,person,653,396,743,637,12.09,97.1
1748782722.637711,113,car,236,425,331,585,15.07,5.7
1748782722.637711,115,car,110,384,278,626,22.50,0.0
1748782722.637711,110,bicycle,660,518,738,679,1.50,0.0
1748782722.700796,41,person,873,427,971,626,2.12,135.0
1748782722.700796,88,person,478,358,592,644,16.97,45.0
1748782722.700796,17,bus,432,277,692,580,18.97,71.6
1748782722.700796,99,car,309,427,455,548,22.30,-47.7
1748782722.700796,101,person,791,394,880,648,1.50,90.0
1748782722.700796,104,bicycle,810,536,871,671,4.24,-45.0
1748782722.700796,112,person,650,395,745,650,18.06,94.8
1748782722.700796,115,car,125,387,291,623,42.00,0.0
1748782722.700796,110,bicycle,661,515,741,678,8.49,-45.0
1748782722.700796,127,bicycle,496,510,563,661,0.00,0.0
1748782722.700796,82,car,858,382,909,442,0.00,0.0
1748782722.752413,41,person,872,427,970,627,3.35,153.4
1748782722.752413,88,person,485,364,592,633,12.90,-35.5
1748782722.752413,17,bus,432,279,690,583,8.08,111.8
1748782722.752413,99,car,311,424,459,549,9.49,-18.4
1748782722.752413,101,person,792,396,879,647,1.50,90.0
1748782722.752413,104,bicycle,810,536,871,671,0.00,0.0
1748782722.752413,112,person,647,390,748,660,7.50,90.0
1748782722.752413,115,car,137,390,302,622,34.63,5.0
1748782722.752413,110,bicycle,661,517,741,676,0.00,0.0
1748782722.752413,127,bicycle,500,513,565,659,9.12,9.5
1748782722.752413,82,car,857,383,907,442,4.74,161.6
1748782722.752413,120,person,968,259,1261,719,0.00,0.0
1748782722.804183,41,person,871,427,970,628,2.12,135.0
1748782722.804183,88,person,488,366,592,629,5.41,-33.7
1748782722.804183,17,bus,432,279,689,583,1.50,180.0
1748782722.804183,99,car,313,422,461,549,6.71,-26.6
1748782722.804183,101,person,793,397,879,647,2.12,45.0
1748782722.804183,104,bicycle,810,536,871,672,1.50,90.0
1748782722.804183,112,person,647,389,747,659,3.35,-116.6
1748782722.804183,115,car,141,390,306,622,12.00,0.0
1748782722.804183,110,bicycle,662,517,741,676,1.50,0.0
1748782722.804183,127,bicycle,502,514,566,658,4.50,0.0
1748782722.804183,82,car,857,383,907,442,0.00,0.0
1748782722.804183,120,person,983,257,1247,720,2.12,-45.0
1748782722.856274,41,person,872,429,969,627,1.50,90.0
1748782722.856274,88,person,492,365,598,631,15.07,5.7
1748782722.856274,17,bus,434,280,689,584,4.24,45.0
1748782722.856274,99,car,314,422,461,550,2.12,45.0
1748782722.856274,101,person,794,398,879,645,2.12,-45.0
1748782722.856274,104,bicycle,808,528,873,672,12.00,-90.0
1748782722.856274,112,person,646,389,747,661,3.35,116.6
1748782722.856274,115,car,147,393,312,621,18.25,9.5
1748782722.856274,82,car,856,384,907,444,4.74,108.4
1748782722.856274,120,person,996,255,1242,720,12.37,-14.0
1748782722.906097,41,person,871,430,968,628,4.24,135.0
1748782722.906097,88,person,497,364,602,629,14.23,-18.4
1748782722.906097,17,bus,440,280,685,574,15.30,-78.7
1748782722.906097,99,car,317,425,460,550,5.41,56.3
1748782722.906097,101,person,795,398,879,642,4.74,-71.6
1748782722.906097,104,bicycle,807,523,875,673,6.18,-76.0
1748782722.906097,112,person,647,393,744,657,3.00,180.0
1748782722.906097,115,car,159,395,323,621,34.63,5.0
1748782722.906097,82,car,857,387,905,444,4.74,108.4
1748782722.906097,120,person,992,256,1220,720,39.03,177.8
1748782722.906097,139,person,1200,164,1274,715,0.00,0.0
1748782722.906097,140,car,724,442,772,519,0.00,0.0
1748782722.906097,110,bicycle,667,531,740,673,0.00,0.0
1748782722.906097,127,bicycle,509,491,582,654,0.00,0.0
1748782722.958863,41,person,871,431,967,629,3.35,116.6
1748782722.958863,88,person,500,364,603,632,7.50,36.9
1748782722.958863,17,bus,442,281,683,570,4.50,-90.0
1748782722.958863,99,car,321,428,458,550,5.41,56.3
1748782722.958863,101,person,797,400,880,640,4.50,0.0
1748782722.958863,104,bicycle,808,520,877,673,6.36,-45.0
1748782722.958863,112,person,648,397,741,648,8.08,-111.8
1748782722.958863,115,car,169,396,330,619,25.54,-3.4
1748782722.958863,82,car,856,390,904,447,9.49,108.4
1748782722.958863,120,person,1004,254,1185,634,136.43,-104.6
1748782722.958863,139,person,1182,154,1258,712,54.60,-159.1
1748782722.958863,140,car,727,449,771,519,10.92,74.1
1748782722.958863,141,bus,0,35,191,706,0.00,0.0
1748782722.958863,110,bicycle,664,523,741,673,12.37,-104.0
1748782722.958863,127,bicycle,516,504,584,653,22.50,53.1
